accession,strain,lineage,date,joint_WHO_China_sample_id,addtl_annotations
EPI_ISL_413864,Guangdong/GD2020246-P0028/2020,B,2020-02-09,,other
EPI_ISL_412116,England/09c/2020,B,2020-02-09,,other
OR240488,SH-P40-A-2-Asia-Japan/2020-02-10,A,2020-02-10,,other
OR240522,SH-P57-2-Other_province_of_China-Heilongjiang/2020-02-10,B,2020-02-10,,other
OR240446,SH-P18-A-2-Other_city_of_Hubei-Ezhou/2020-02-10,B,2020-02-10,,other
OR240498,SH-P44-C-2-Shanghai/2020-02-10,B,2020-02-10,,other
OR240504,SH-P48-B-2-Shanghai/2020-02-10,B,2020-02-10,,other
OR240493,SH-P43-B-2-Shanghai/2020-02-10,B,2020-02-10,,other
OR240371,SH-P258-2-Wuhan/2020-02-10,B,2020-02-10,,other
EPI_ISL_490000,SaudiArabia/523/2020,B.1,2020-02-10,,other
EPI_ISL_489999,SaudiArabia/518/2020,B.1,2020-02-10,,other
EPI_ISL_455507,hCoV-19/Jiangxi/JX2019/2020,B,2020-02-10,,other
EPI_ISL_455465,Fuzhou/JX2019/2020,B,2020-02-10,,other
EPI_ISL_455374,Wuhan/HB-WH2-162/2020,B,2020-02-10,,other
EPI_ISL_454931,Wuhan/HB-WH2-164/2020,B,2020-02-10,,other
EPI_ISL_454930,Wuhan/HB-WH2-163/2020,B,2020-02-10,,other
EPI_ISL_451388,Sichuan/SC-WCH4-286/2020,B,2020-02-10,,other
EPI_ISL_430741,Beijing/BJ782/2020,A0,2020-02-10,,other
EPI_ISL_419219,HongKong/HKPU44-0102/2020,B,2020-02-10,,other
EPI_ISL_419217,HongKong/HKPU42-0302/2020,B,2020-02-10,,other
EPI_ISL_419216,HongKong/HKPU41-0802/2020,B,2020-02-10,,other
EPI_ISL_419215,HongKong/HKPU40-2801/2020,B,2020-02-10,,other
EPI_ISL_419214,HongKong/HKPU39-3001/2020,B,2020-02-10,,other
EPI_ISL_418992,Singapore/17/2020,B,2020-02-10,,other
EPI_ISL_416396,Shanghai/SH0106/2020,B,2020-02-10,,other
EPI_ISL_414528,HongKong/VM20002507-2/2020,B,2020-02-10,,other
EPI_ISL_413875,Guangdong/GDFS2020052-P0025/2020,B,2020-02-10,,other
EPI_ISL_411955,USA/CA-CDC-03047275-001/2020,B,2020-02-10,,other
OR240439,SH-P13-2-Other_city_of_Hubei-Jingzhou/2020-02-11,A,2020-02-11,,other
OR240431,SH-P07-B-2-Shanghai/2020-02-11,A,2020-02-11,,other
OR240434,SH-P10-A-2-Shanghai/2020-02-11,A,2020-02-11,,other
OR240438,SH-P12-A-2-Europe-France/2020-02-11,B,2020-02-11,,other
OR240447,SH-P18-B-2-Other_city_of_Hubei-Ezhou/2020-02-11,B,2020-02-11,,other
OR240494,SH-P43-C-2-Shanghai/2020-02-11,B,2020-02-11,,other
OR240499,SH-P44-D-2-Shanghai/2020-02-11,B,2020-02-11,,other
OR240524,SH-P59-A-2-Unclear/2020-02-11,B,2020-02-11,,other
OR240515,SH-P54-A-2-Shanghai/2020-02-11,B,2020-02-11,,other
OR240433,SH-P09-2-Wuhan/2020-02-11,B.4,2020-02-11,,other
OR240519,SH-P55-2-Other_province_of_China-Henan/2020-02-11,B0,2020-02-11,,other
EPI_ISL_457691,Guangzhou/GZMU0079/2020,B,2020-02-11,,other
EPI_ISL_457690,Guangzhou/GZMU0078/2020,A,2020-02-11,,other
EPI_ISL_457689,Guangzhou/GZMU0077/2020,A,2020-02-11,,other
EPI_ISL_457688,Guangzhou/GZMU0075/2020,A,2020-02-11,,other
EPI_ISL_457687,Guangzhou/GZMU0074/2020,A,2020-02-11,,other
EPI_ISL_455375,Wuhan/HB-WH2-165/2020,B,2020-02-11,,other
EPI_ISL_455011,Wuhan/HB-WHCM2-279/2020,B,2020-02-11,,other
EPI_ISL_454937,Wuhan/HB-WH3-171/2020,B,2020-02-11,,other
EPI_ISL_454936,Wuhan/HB-WH3-170/2020,B,2020-02-11,,other
EPI_ISL_454935,Wuhan/HB-WH2-169/2020,B,2020-02-11,,other
EPI_ISL_454934,Wuhan/HB-WH2-168/2020,B,2020-02-11,,other
EPI_ISL_454933,Wuhan/HB-WH2-167/2020,B,2020-02-11,,other
EPI_ISL_454932,Wuhan/HB-WH2-166/2020,B,2020-02-11,,other
EPI_ISL_453780,hCoV-19/China/DT-WH01/2020,B,2020-02-11,,other
EPI_ISL_452361,Beijing/DT-BJ03/2020,CC,2020-02-11,,other
EPI_ISL_452358,Beijing/DT-BJ01/2020,B,2020-02-11,,other
EPI_ISL_451342,Sichuan/SC-NJ-093/2020,CC,2020-02-11,,other
EPI_ISL_419223,HongKong/HKPU49-3001/2020,B,2020-02-11,,other
EPI_ISL_419222,HongKong/HKPU48-0202/2020,B,2020-02-11,,other
EPI_ISL_419221,HongKong/HKPU45-0502/2020,B,2020-02-11,,other
EPI_ISL_416402,Shanghai/SH0115/2020,A,2020-02-11,,other
EPI_ISL_411956,USA/TX-CDC-03050000-001/2020,A0,2020-02-11,,other
OR240464,SH-P25-B-2-Other_city_of_Hubei-Xiaogan/2020-02-12,A,2020-02-12,,other
OR240495,SH-P43-D-2-Shanghai/2020-02-12,B,2020-02-12,,other
OR240516,SH-P54-B-2-Shanghai/2020-02-12,B,2020-02-12,,other
OR240470,SH-P28-B-2-Shanghai/2020-02-12,B,2020-02-12,,other
OR240505,SH-P48-C-2-Shanghai/2020-02-12,B,2020-02-12,,other
OR240526,SH-P60-2-Unclear/2020-02-12,B-B.1,2020-02-12,,other
EPI_ISL_962871,Shandong/2020C1240550/2020,A,2020-02-12,,other
EPI_ISL_685584,Japan/PG-1978/2020,B,2020-02-12,,other
EPI_ISL_455509,hCoV-19/Jiangxi/JX2424/2020,A,2020-02-12,,other
EPI_ISL_455467,Yichun/JX2424/2020,A,2020-02-12,,other
EPI_ISL_455386,Wuhan/HB-WH4-198/2020,B,2020-02-12,,other
EPI_ISL_451364,Sichuan/SC-PHCC2-044/2020,B,2020-02-12,,other
EPI_ISL_451355,Sichuan/SC-PHCC1-034/2020,CC,2020-02-12,,other
EPI_ISL_451298,Italy/LAZ-INMI1-B1/2020,B,2020-02-12,,other
EPI_ISL_416408,Shanghai/SH0127/2020,B,2020-02-12,,other
EPI_ISL_414569,HongKong/VM20002582-2/2020,B,2020-02-12,,other
OR240435,SH-P10-B-2-Shanghai/2020-02-13,A,2020-02-13,,other
OR240437,SH-P11-B-2-Shanghai/2020-02-13,A,2020-02-13,,other
OR240527,SH-P61-2-Shanghai/2020-02-13,A,2020-02-13,,other
OR240450,SH-P19-B-2-Wuhan/2020-02-13,B,2020-02-13,,other
OR240448,SH-P18-C-2-Other_city_of_Hubei-Ezhou/2020-02-13,B,2020-02-13,,other
OR240453,SH-P20-C-2-Wuhan/2020-02-13,B,2020-02-13,,other
EPI_ISL_962534,Shandong/2020C1240548/2020,A,2020-02-13,,other
EPI_ISL_940419,France/IDF_HB_112002053643/2020,B.1,2020-02-13,,other
EPI_ISL_685585,Japan/PG-1979/2020,B,2020-02-13,,other
EPI_ISL_582610,UnitedArabEmirates/skmc-0442954/2020,B,2020-02-13,,other
EPI_ISL_490002,SaudiArabia/553/2020,B.1,2020-02-13,,other
EPI_ISL_490001,SaudiArabia/545/2020,B.1,2020-02-13,,other
EPI_ISL_479850,Japan/PG-0114/2020,B,2020-02-13,,other
EPI_ISL_464170,England/20078004004/2020,B,2020-02-13,,other
EPI_ISL_464169,England/20078003804/2020,B,2020-02-13,,other
EPI_ISL_454999,Wuhan/HB-WHCM2-264/2020,B,2020-02-13,,other
EPI_ISL_454417,Guangdong/MZ01/2020,A,2020-02-13,,other
EPI_ISL_451391,Sichuan/SC-WCH4-289/2020,B,2020-02-13,,other
EPI_ISL_451362,Sichuan/SC-PHCC2-042/2020,B,2020-02-13,,other
EPI_ISL_419226,HongKong/HKPU54-0302/2020,B,2020-02-13,,other
EPI_ISL_419225,HongKong/HKPU53-0802/2020,B,2020-02-13,,other
EPI_ISL_419224,HongKong/HKPU52-3101/2020,B,2020-02-13,,other
EPI_ISL_419000,Singapore/21/2020,T-,2020-02-13,,other
EPI_ISL_416399,Shanghai/SH0110/2020,B,2020-02-13,,other
OR240489,SH-P40-B-2-Asia-Japan/2020-02-14,A,2020-02-14,,other
OR240476,SH-P33-2-Asia-France/2020-02-14,B,2020-02-14,,other
OR240525,SH-P59-B-2-Unclear/2020-02-14,B,2020-02-14,,other
EPI_ISL_962870,Shandong/2020C1240557/2020,A,2020-02-14,,other
EPI_ISL_962869,Shandong/2020C1240636/2020,A,2020-02-14,,other
EPI_ISL_962542,Shandong/2020C1240512/2020,B,2020-02-14,,other
EPI_ISL_962533,Shandong/2020C1240551/2020,A,2020-02-14,,other
EPI_ISL_962532,Shandong/2020C1240555/2020,B,2020-02-14,,other
EPI_ISL_685780,Japan/PG-2175/2020,B,2020-02-14,,other
EPI_ISL_464172,England/20079000404/2020,B,2020-02-14,,other
EPI_ISL_464171,England/20079000204/2020,B,2020-02-14,,other
EPI_ISL_462306,Singapore/188/2020,B0,2020-02-14,,other
EPI_ISL_457693,Guangzhou/GZMU0083/2020,A,2020-02-14,,other
EPI_ISL_457692,Guangzhou/GZMU0081/2020,A,2020-02-14,,other
EPI_ISL_455000,Wuhan/HB-WHCM2-265/2020,B,2020-02-14,,other
EPI_ISL_451368,Sichuan/SC-PHCC2-048/2020,A,2020-02-14,,other
EPI_ISL_418998,Singapore/14Clin/2020,T-,2020-02-14,,other
EPI_ISL_416394,Shanghai/SH0102/2020,B,2020-02-14,,other
OR240510,SH-P50-A-2-Shanghai/2020-02-15,B,2020-02-15,,other
OR240462,SH-P24-B-2-Wuhan/2020-02-15,B,2020-02-15,,other
OR240520,SH-P56-A-2-Shanghai/2020-02-15,B,2020-02-15,,other
OR240521,SH-P56-B-2-Shanghai/2020-02-15,B,2020-02-15,,other
OR240517,SH-P54-C-2-Shanghai/2020-02-15,B,2020-02-15,,other
OR240509,SH-P49-2-Shanghai/2020-02-15,B,2020-02-15,,other
OR240506,SH-P48-D-2-Shanghai/2020-02-15,B,2020-02-15,,other
OR240411,SH-P261-2-Wuhan/2020-02-15,B.4,2020-02-15,,other
OR240533,SH-P66-2-Asia-Japan/2020-02-15,B.4,2020-02-15,,other
EPI_ISL_962868,Shandong/2020C1240764/2020,B,2020-02-15,,other
EPI_ISL_684615,Japan/PG-1005/2020,B,2020-02-15,,other
EPI_ISL_497848,HongKong/HKU-200723-081/2020,B,2020-02-15,,other
EPI_ISL_497812,HongKong/HKU-200723-045/2020,B,2020-02-15,,other
EPI_ISL_496615,Panama/328927/2020,B,2020-02-15,,other
EPI_ISL_480042,Japan/PG-0372/2020,A,2020-02-15,,other
EPI_ISL_479824,Japan/PG-0066/2020,B,2020-02-15,,other
EPI_ISL_469132,Singapore/383/2020,T-,2020-02-15,,other
EPI_ISL_464174,England/20079022904/2020,B,2020-02-15,,other
EPI_ISL_464173,England/20079022704/2020,B,2020-02-15,,other
EPI_ISL_455003,Wuhan/HB-WHCM2-268/2020,B,2020-02-15,,other
EPI_ISL_454418,Guangdong/MZ02/2020,A,2020-02-15,,other
EPI_ISL_451393,Sichuan/SC-WCH4-291/2020,B,2020-02-15,,other
EPI_ISL_419227,HongKong/HKPU57-0702/2020,B,2020-02-15,,other
EPI_ISL_416584,Japan/DP0200/2020,B,2020-02-15,,other
EPI_ISL_416583,Japan/DP0196/2020,B,2020-02-15,,other
EPI_ISL_416582,Japan/DP0191/2020,B,2020-02-15,,other
EPI_ISL_416581,Japan/DP0190/2020,B,2020-02-15,,other
EPI_ISL_416580,Japan/DP0184/2020,B,2020-02-15,,other
EPI_ISL_416579,Japan/DP0158/2020,B,2020-02-15,,other
EPI_ISL_416578,Japan/DP0152/2020,B,2020-02-15,,other
EPI_ISL_416577,Japan/DP0134/2020,B,2020-02-15,,other
EPI_ISL_416576,Japan/DP0133/2020,B,2020-02-15,,other
EPI_ISL_416575,Japan/DP0121/2020,B,2020-02-15,,other
EPI_ISL_416574,Japan/DP0107/2020,B,2020-02-15,,other
EPI_ISL_416573,Japan/DP0104/2020,B,2020-02-15,,other
EPI_ISL_416572,Japan/DP0078/2020,B,2020-02-15,,other
EPI_ISL_416571,Japan/DP0077/2020,B,2020-02-15,,other
EPI_ISL_416570,Japan/DP0065/2020,B,2020-02-15,,other
EPI_ISL_416569,Japan/DP0059/2020,B,2020-02-15,,other
EPI_ISL_416568,Japan/DP0058/2020,B,2020-02-15,,other
EPI_ISL_416567,Japan/DP0037/2020,B,2020-02-15,,other
EPI_ISL_416566,Japan/DP0027/2020,B,2020-02-15,,other
EPI_ISL_416565,Japan/DP0005/2020,B,2020-02-15,,other
EPI_ISL_416407,Shanghai/SH0126/2020,B.4,2020-02-15,,other
EPI_ISL_416406,Shanghai/SH0125/2020,B.4,2020-02-15,,other
OR240426,SH-P04-2-Wuhan/2020-02-16,A,2020-02-16,,other
OR240424,SH-P02-A-2-Wuhan/2020-02-16,B,2020-02-16,,other
OR240455,SH-P22-A-2-Shanghai/2020-02-16,B,2020-02-16,,other
OR240432,SH-P08-2-Wuhan/2020-02-16,B,2020-02-16,,other
OR240412,SH-P271-2-Unclear/2020-02-16,B,2020-02-16,,other
OR240507,SH-P48-E-2-Shanghai/2020-02-16,B,2020-02-16,,other
OR240500,SH-P45-2-Wuhan/2020-02-16,B.4,2020-02-16,,other
EPI_ISL_538435,Singapore/36nan/2020,B,2020-02-16,,other
EPI_ISL_490003,SaudiArabia/562/2020,B.1,2020-02-16,,other
EPI_ISL_477170,Singapore/470/2020,B0,2020-02-16,,other
EPI_ISL_466615,England/20168037604/2020,B.1,2020-02-16,,other
EPI_ISL_464177,England/20080000404/2020,B,2020-02-16,,other
EPI_ISL_464176,England/20080000204/2020,B,2020-02-16,,other
EPI_ISL_464175,England/20080000104/2020,B,2020-02-16,,other
EPI_ISL_454749,Japan/DP0321/2020,B,2020-02-16,,other
EPI_ISL_428822,Singapore/43/2020,T-,2020-02-16,,other
EPI_ISL_422429,Singapore/36/2020,B,2020-02-16,,other
EPI_ISL_416606,Japan/DP0482/2020,B,2020-02-16,,other
EPI_ISL_416605,Japan/DP0481/2020,B,2020-02-16,,other
EPI_ISL_416604,Japan/DP0476/2020,B,2020-02-16,,other
EPI_ISL_416603,Japan/DP0464/2020,B,2020-02-16,,other
EPI_ISL_416602,Japan/DP0462/2020,B,2020-02-16,,other
EPI_ISL_416601,Japan/DP0457/2020,B,2020-02-16,,other
EPI_ISL_416600,Japan/DP0438/2020,B,2020-02-16,,other
EPI_ISL_416599,Japan/DP0361/2020,B,2020-02-16,,other
EPI_ISL_416598,Japan/DP0357/2020,B,2020-02-16,,other
EPI_ISL_416597,Japan/DP0346/2020,B,2020-02-16,,other
EPI_ISL_416596,Japan/DP0344/2020,B,2020-02-16,,other
EPI_ISL_416595,Japan/DP0328/2020,B,2020-02-16,,other
EPI_ISL_416594,Japan/DP0319/2020,B,2020-02-16,,other
EPI_ISL_416593,Japan/DP0311/2020,B,2020-02-16,,other
EPI_ISL_416592,Japan/DP0294/2020,B,2020-02-16,,other
EPI_ISL_416591,Japan/DP0290/2020,B,2020-02-16,,other
EPI_ISL_416590,Japan/DP0289/2020,B,2020-02-16,,other
EPI_ISL_416589,Japan/DP0287/2020,B,2020-02-16,,other
EPI_ISL_416588,Japan/DP0286/2020,B,2020-02-16,,other
EPI_ISL_416587,Japan/DP0278/2020,B,2020-02-16,,other
EPI_ISL_416586,Japan/DP0274/2020,B,2020-02-16,,other
EPI_ISL_416585,Japan/DP0236/2020,B,2020-02-16,,other
EPI_ISL_412965,Canada/BC_37_0-2/2020,B.4,2020-02-16,,other
OR240428,SH-P05-B-2-Other_province_of_China-Guangdong/2020-02-17,A,2020-02-17,,other
OR240456,SH-P22-B-2-Shanghai/2020-02-17,B,2020-02-17,,other
OR240404,SH-P22-I-2-Shanghai/2020-02-17,B,2020-02-17,,other
OR240518,SH-P54-D-2-Shanghai/2020-02-17,B,2020-02-17,,other
OR240529,SH-P63-2-Asia-Japan/2020-02-17,B.4,2020-02-17,,other
EPI_ISL_962540,Shandong/2020C1240526/2020,A,2020-02-17,,other
EPI_ISL_497961,SouthKorea/KCDC2060/2020,B,2020-02-17,,other
EPI_ISL_496609,Panama/328723/2020,A,2020-02-17,,other
EPI_ISL_490004,SaudiArabia/578/2020,B.1,2020-02-17,,other
EPI_ISL_480030,Japan/PG-0359/2020,B,2020-02-17,,other
EPI_ISL_479863,Japan/PG-0140/2020,B,2020-02-17,,other
EPI_ISL_479851,Japan/PG-0115/2020,B,2020-02-17,,other
EPI_ISL_457695,Guangzhou/GZMU0095/2020,A,2020-02-17,,other
EPI_ISL_457694,Guangzhou/GZMU0092/2020,B,2020-02-17,,other
EPI_ISL_455006,Wuhan/HB-WHCM2-271/2020,B,2020-02-17,,other
EPI_ISL_455002,Wuhan/HB-WHCM2-267/2020,B,2020-02-17,,other
EPI_ISL_454974,Wuhan/HB-WH5-231/2020,CC,2020-02-17,,other
EPI_ISL_428463,Guangdong/20SF4051/2020,A0,2020-02-17,,other
EPI_ISL_428462,Guangdong/20SF4047/2020,A,2020-02-17,,other
EPI_ISL_419229,HongKong/HKPU61-0202/2020,B,2020-02-17,,other
EPI_ISL_419228,HongKong/HKPU60-0802/2020,B,2020-02-17,,other
EPI_ISL_416634,Japan/DP0890/2020,B,2020-02-17,,other
EPI_ISL_416633,Japan/DP0880/2020,B,2020-02-17,,other
EPI_ISL_416632,Japan/DP0827/2020,B,2020-02-17,,other
EPI_ISL_416631,Japan/DP0804/2020,B,2020-02-17,,other
EPI_ISL_416630,Japan/DP0803/2020,B,2020-02-17,,other
EPI_ISL_416629,Japan/DP0802/2020,B,2020-02-17,,other
EPI_ISL_416628,Japan/DP0786/2020,B,2020-02-17,,other
EPI_ISL_416627,Japan/DP0785/2020,B,2020-02-17,,other
EPI_ISL_416626,Japan/DP0779/2020,B,2020-02-17,,other
EPI_ISL_416625,Japan/DP0765/2020,B,2020-02-17,,other
EPI_ISL_416624,Japan/DP0764/2020,B,2020-02-17,,other
EPI_ISL_416623,Japan/DP0763/2020,B,2020-02-17,,other
EPI_ISL_416622,Japan/DP0752/2020,B,2020-02-17,,other
EPI_ISL_416621,Japan/DP0743/2020,B,2020-02-17,,other
EPI_ISL_416620,Japan/DP0724/2020,B,2020-02-17,,other
EPI_ISL_416619,Japan/DP0703/2020,B,2020-02-17,,other
EPI_ISL_416618,Japan/DP0700/2020,B,2020-02-17,,other
EPI_ISL_416617,Japan/DP0699/2020,B,2020-02-17,,other
EPI_ISL_416616,Japan/DP0697/2020,B,2020-02-17,,other
EPI_ISL_416615,Japan/DP0690/2020,B,2020-02-17,,other
EPI_ISL_416614,Japan/DP0687/2020,B,2020-02-17,,other
EPI_ISL_416613,Japan/DP0654/2020,B,2020-02-17,,other
EPI_ISL_416612,Japan/DP0645/2020,B,2020-02-17,,other
EPI_ISL_416611,Japan/DP0644/2020,B,2020-02-17,,other
EPI_ISL_416610,Japan/DP0588/2020,B,2020-02-17,,other
EPI_ISL_416609,Japan/DP0568/2020,B,2020-02-17,,other
EPI_ISL_416608,Japan/DP0544/2020,B,2020-02-17,,other
EPI_ISL_416607,Japan/DP0543/2020,B,2020-02-17,,other
EPI_ISL_414484,USA/Cruise-CDC-03052618-001/2020,B,2020-02-17,,other
EPI_ISL_414483,USA/Cruise-CDC-03052610-001/2020,B,2020-02-17,,other
EPI_ISL_413616,USA/Cruise-CDC-03052616-001/2020,B,2020-02-17,,other
EPI_ISL_413615,USA/Cruise-CDC-03052614-001/2020,B,2020-02-17,,other
EPI_ISL_413614,USA/Cruise-CDC-03052612-001/2020,B,2020-02-17,,other
EPI_ISL_413613,USA/Cruise-CDC-03052607-001/2020,B,2020-02-17,,other
EPI_ISL_413612,USA/Cruise-CDC-03052605-001/2020,B,2020-02-17,,other
EPI_ISL_413606,USA/Cruise-CDC-03052312-001/2020,B,2020-02-17,,other
OR240440,SH-P14-A-2-Wuhan/2020-02-18,A,2020-02-18,,other
OR240445,SH-P17-2-Shanghai/2020-02-18,A,2020-02-18,,other
OR240457,SH-P22-C-2-Shanghai/2020-02-18,B,2020-02-18,,other
OR240491,SH-P42-2-Asia-Japan/2020-02-18,B,2020-02-18,,other
OR240534,SH-P67-2-Shanghai/2020-02-18,B,2020-02-18,,other
OR240537,SH-P69-A-3-Shanghai/2020-02-18,B,2020-02-18,,other
OR240538,SH-P69-B-3-Shanghai/2020-02-18,B,2020-02-18,,other
OR240508,SH-P48-F-2-Shanghai/2020-02-18,B,2020-02-18,,other
OR240530,SH-P64-A-2-Asia-Japan/2020-02-18,B.4,2020-02-18,,other
OR240532,SH-P65-2-Asia-Japan/2020-02-18,B.4,2020-02-18,,other
EPI_ISL_684163,Japan/PG-0360/2020,B,2020-02-18,,other
EPI_ISL_493414,Singapore/654/2020,B,2020-02-18,,other
EPI_ISL_490006,SaudiArabia/596/2020,B.1,2020-02-18,,other
EPI_ISL_490005,SaudiArabia/583/2020,B.1,2020-02-18,,other
EPI_ISL_479798,Japan/PG-0011/2020,B,2020-02-18,,other
EPI_ISL_479797,Japan/PG-0010/2020,B,2020-02-18,,other
EPI_ISL_471438,SouthKorea/KCDC2022/2020,B,2020-02-18,,other
EPI_ISL_471426,SouthKorea/KCDC2021/2020,B,2020-02-18,,other
EPI_ISL_471425,SouthKorea/KCDC2020/2020,B,2020-02-18,,other
EPI_ISL_464178,England/20084031204/2020,B,2020-02-18,,other
EPI_ISL_427813,SouthKorea/KCDC2019/2020,B,2020-02-18,,other
EPI_ISL_427811,SouthKorea/KCDC2017/2020,B,2020-02-18,,other
EPI_ISL_427810,SouthKorea/KCDC2016/2020,B,2020-02-18,,other
EPI_ISL_414482,USA/Cruise-CDC-3053685-001/2020,B,2020-02-18,,other
EPI_ISL_414479,USA/Cruise-CDC-03052316-001/2020,B,2020-02-18,,other
EPI_ISL_413621,USA/Cruise-CDC-3053326-001/2020,B,2020-02-18,,other
EPI_ISL_413620,USA/Cruise-CDC-3053324-001/2020,B,2020-02-18,,other
EPI_ISL_413608,USA/Cruise-CDC-03053578-001/2020,B,2020-02-18,,other
EPI_ISL_413607,USA/Cruise-CDC-03053369-001/2020,B,2020-02-18,,other
OR240458,SH-P22-D-2-Shanghai/2020-02-19,B,2020-02-19,,other
OR240539,SH-P69-C-3-Shanghai/2020-02-19,B,2020-02-19,,other
OR240540,SH-P69-D-3-Shanghai/2020-02-19,B,2020-02-19,,other
OR240480,SH-P35-A-2-Shanghai/2020-02-19,B,2020-02-19,,other
OR240443,SH-P15-2-Wuhan/2020-02-19,B,2020-02-19,,other
EPI_ISL_684127,Japan/PG-0116/2020,B,2020-02-19,,other
EPI_ISL_629084,France/ARA-SC004/2020,B.1,2020-02-19,,other
EPI_ISL_497969,SouthKorea/KCDC2068/2020,B,2020-02-19,,other
EPI_ISL_497968,SouthKorea/KCDC2067/2020,B,2020-02-19,,other
EPI_ISL_497960,SouthKorea/KCDC2039/2020,B,2020-02-19,,other
EPI_ISL_480031,Japan/PG-0361/2020,B,2020-02-19,,other
EPI_ISL_476795,Singapore/469/2020,B0,2020-02-19,,other
EPI_ISL_471450,SouthKorea/KCDC2044/2020,B,2020-02-19,,other
EPI_ISL_471449,SouthKorea/KCDC2043/2020,B,2020-02-19,,other
EPI_ISL_471448,SouthKorea/KCDC2042/2020,B,2020-02-19,,other
EPI_ISL_471447,SouthKorea/KCDC2041/2020,B,2020-02-19,,other
EPI_ISL_471446,SouthKorea/KCDC2040/2020,B,2020-02-19,,other
EPI_ISL_471443,SouthKorea/KCDC2027/2020,B,2020-02-19,,other
EPI_ISL_471442,SouthKorea/KCDC2026/2020,B,2020-02-19,,other
EPI_ISL_471441,SouthKorea/KCDC2025/2020,B,2020-02-19,,other
EPI_ISL_471440,SouthKorea/KCDC2024/2020,B,2020-02-19,,other
EPI_ISL_471439,SouthKorea/KCDC2023/2020,B,2020-02-19,,other
EPI_ISL_464179,England/20086030304/2020,B,2020-02-19,,other
EPI_ISL_462433,Singapore/315/2020,B0,2020-02-19,,other
EPI_ISL_454952,Wuhan/HB-WH4-200/2020,CC,2020-02-19,,other
EPI_ISL_451318,Sichuan/SC-LZ-079/2020,CC,2020-02-19,,other
EPI_ISL_427812,SouthKorea/KCDC2018/2020,A,2020-02-19,,other
EPI_ISL_419241,HongKong/HKPU65-1202/2020,B,2020-02-19,,other
EPI_ISL_419232,HongKong/HKPU64-1202/2020,B,2020-02-19,,other
EPI_ISL_419231,HongKong/HKPU63-1402/2020,B,2020-02-19,,other
OR240459,SH-P22-E-2-Shanghai/2020-02-20,B,2020-02-20,,other
OR240415,SH-P35-G-2-Shanghai/2020-02-20,B,2020-02-20,,other
EPI_ISL_862078,Iran/Tehran-08/2020,B.4,2020-02-20,,other
EPI_ISL_862077,Iran/Tehran-09/2020,B.4,2020-02-20,,other
EPI_ISL_684130,Japan/PG-0142/2020,B,2020-02-20,,other
EPI_ISL_538436,Singapore/913/2020,B,2020-02-20,,other
EPI_ISL_497974,SouthKorea/KCDC2073/2020,B,2020-02-20,,other
EPI_ISL_497973,SouthKorea/KCDC2072/2020,B,2020-02-20,,other
EPI_ISL_497972,SouthKorea/KCDC2071/2020,B,2020-02-20,,other
EPI_ISL_497971,SouthKorea/KCDC2070/2020,B,2020-02-20,,other
EPI_ISL_497959,SouthKorea/KCDC2038/2020,B,2020-02-20,,other
EPI_ISL_497958,SouthKorea/KCDC2037/2020,B,2020-02-20,,other
EPI_ISL_497957,SouthKorea/KCDC2036/2020,B,2020-02-20,,other
EPI_ISL_497956,SouthKorea/KCDC2035/2020,B,2020-02-20,,other
EPI_ISL_497955,SouthKorea/KCDC2034/2020,B,2020-02-20,,other
EPI_ISL_497954,SouthKorea/KCDC2033/2020,B,2020-02-20,,other
EPI_ISL_497953,SouthKorea/KCDC2032/2020,B,2020-02-20,,other
EPI_ISL_497951,SouthKorea/KCDC2030/2020,B,2020-02-20,,other
EPI_ISL_490007,SaudiArabia/610/2020,B.1,2020-02-20,,other
EPI_ISL_481376,SouthKorea/KCDC2056/2020,B,2020-02-20,,other
EPI_ISL_471453,SouthKorea/KCDC2047/2020,A,2020-02-20,,other
EPI_ISL_471451,SouthKorea/KCDC2045/2020,B,2020-02-20,,other
EPI_ISL_471445,SouthKorea/KCDC2029/2020,B,2020-02-20,,other
EPI_ISL_471444,SouthKorea/KCDC2028/2020,B,2020-02-20,,other
EPI_ISL_464180,England/20088028304/2020,B,2020-02-20,,other
EPI_ISL_457697,Guangzhou/GZMU0101/2020,B,2020-02-20,,other
EPI_ISL_457696,Guangzhou/GZMU0099/2020,A,2020-02-20,,other
EPI_ISL_454965,Wuhan/HB-WH5-220/2020,B,2020-02-20,,other
EPI_ISL_451347,Sichuan/SC-PHCC1-026/2020,CC,2020-02-20,,other
EPI_ISL_419832,Australia/NT02/2020,B,2020-02-20,,other
EPI_ISL_419831,Australia/NT01/2020,B,2020-02-20,,other
EPI_ISL_415577,Canada/BC_69243/2020,B.4,2020-02-20,,other
EPI_ISL_413618,USA/Cruise-CDC-03054873-001/2020,B,2020-02-20,,other
EPI_ISL_413617,USA/Cruise-CDC-3054616-001/2020,B,2020-02-20,,other
EPI_ISL_413459,Japan/TK-20-31-3/2020,B,2020-02-20,,other
EPI_ISL_1015042,France/IDF_PSL_177/2020,B.1,2020-02-20,,other
OR240441,SH-P14-B-2-Wuhan/2020-02-21,A,2020-02-21,,other
OR240541,SH-P69-E-3-Shanghai/2020-02-21,B,2020-02-21,,other
EPI_ISL_728000,Japan/FHU-CS56-0221/2020,B,2020-02-21,,other
EPI_ISL_727999,Japan/FHU-CS29-0221/2020,B,2020-02-21,,other
